..DistrictName,Unit,Gender,Chartered_Org,Male_Youth,Female_Youth,Total_Youth,Male_Adults,Female_Adults,Total_Adults,Expire_Date
Centennial 02,Crew 0113-NA,,Smoky Hill United Methodist Church,1,1,2,3,3,6,12/31/2021
Centennial 02,Crew 0308-NA,,Faith Presbyterian Church,2,0,2,2,0,2,12/31/2021
Centennial 02,Crew 0563-NA,,Centennial Gun Club,7,3,10,7,7,14,12/31/2021
Centennial 02,Crew 0604-NA,,Friends of Crew 604,2,1,3,6,3,9,12/31/2021
Centennial 02,Crew 0839-NA,,All Saints Luthern Church,3,0,3,1,3,4,12/31/2021
Centennial 02,Pack 0015-FP,F,Aurora Gateway Rotary Club,23,5,28,7,7,14,12/31/2021
Centennial 02,Pack 0030-BP,B,Bennett Watkins Lions Club,22,0,22,2,5,7,12/31/2021
Centennial 02,Pack 0052-BP,B,Buffalo Trails Parents & Friends of 52,32,0,32,8,4,12,12/31/2021
Centennial 02,Pack 0055-BP,B,Cherry Hills Village Friends of Scouting,10,0,10,5,0,5,12/31/2021
Centennial 02,Pack 0106-FP,F,Aurora Fitzsimons Rotary Club,18,2,20,7,4,11,12/31/2021
Centennial 02,Pack 0113-FP,F,Smoky Hill United Methodist Church,32,9,41,5,0,5,12/31/2021
Centennial 02,Pack 0131-FP,F,South Denver 93 Temple Association,35,11,46,8,3,11,12/31/2021
Centennial 02,Pack 0252-FP,F,Peakview Parents & Friends of Pack 252,28,0,28,2,4,6,12/31/2021
Centennial 02,Pack 0255-FP,F,Faith Presbyterian Church,13,7,20,8,3,11,12/31/2021
Centennial 02,Pack 0257-FP,F,Friends & Family of Pack 257,15,2,17,3,4,7,12/31/2021
Centennial 02,Pack 0317-BP,B,Our Lady Of Loreto Catholic Church,12,0,12,3,1,4,12/31/2021
Centennial 02,Pack 0351-BP,B,Friends & Family of Pack 351,19,0,19,0,1,1,12/31/2021
Centennial 02,Pack 0630-FP,F,Ponderosa Elementary School PTCO,14,3,17,4,4,8,12/31/2021
Centennial 02,Pack 0674-FP,F,Dry Creek Elementary PTCO,14,0,14,3,4,7,12/31/2021
Centennial 02,Pack 0725-FP,F,Aurora Academy,6,3,9,2,5,7,12/31/2021
Centennial 02,Pack 0770-BP,B,St Thomas More Catholic Church,37,0,37,7,4,11,12/31/2021
Centennial 02,Pack 0914-FP,F,Aurora Chamber of Commerce,30,2,32,4,2,6,12/31/2021
Centennial 02,Pack 1127-FP,F,Aurora Chamber of Commerce,35,1,36,7,5,12,12/31/2021
Centennial 02,Pack 2010-FP,F,Friends and Family of Pack 2010,33,4,37,9,8,17,12/31/2021
Centennial 02,Troop 0003-BT,B,Rocky Mountain Radio League,10,0,10,10,2,12,12/31/2021
Centennial 02,Troop 0012-BT,B,St Michael Men's Club,37,0,37,9,3,12,12/31/2021
Centennial 02,Troop 0030-BT,B,Trivalley VFW Post 8449,3,0,3,2,3,5,12/31/2021
Centennial 02,Troop 0113-BT,B,Smoky Hill United Methodist Church,58,0,58,29,14,43,12/31/2021
Centennial 02,Troop 0113-GT,G,Smoky Hill United Methodist Church,0,17,17,3,3,6,12/31/2021
Centennial 02,Troop 0120-BT,B,Colorado National Guard Friends of Scouting,9,0,9,8,6,14,12/31/2021
Centennial 02,Troop 0127-BT,B,St Matthews Episcopal Church,41,0,41,7,5,12,12/31/2021
Centennial 02,Troop 0171-BT,B,WI3GND Ham Radio Club,18,0,18,5,3,8,12/31/2021
Centennial 02,Troop 0257-BT,B,Walnut Hills Civic Association,6,0,6,3,2,5,12/31/2021
Centennial 02,Troop 0308-BT,B,Faith Presbyterian Church,22,0,22,9,5,14,12/31/2021
Centennial 02,Troop 0308-GT,G,Faith Presbyterian Church,0,9,9,1,2,3,12/31/2021
Centennial 02,Troop 0317-BT,B,Our Lady Of Loreto Catholic Church,17,0,17,10,2,12,12/31/2021
Centennial 02,Troop 0373-BT,B,Homestead in the Willow HOA,45,0,45,18,6,24,12/31/2021
Centennial 02,Troop 0375-BT,B,American Legion Post #1992,9,0,9,3,2,5,12/31/2021
Centennial 02,Troop 0457-BT,B,"Troop 457 of Greenwood Village,Inc.",51,1,52,29,8,37,12/31/2021
Centennial 02,Troop 0457-GT,G,"Scout, Crew, Troops and Packs of Colorado",0,6,6,5,4,9,12/31/2021
Centennial 02,Troop 0630-BT,B,Christ The Savior Lutheran Church,28,0,28,11,2,13,12/31/2021
Centennial 02,Troop 0630-GT,G,Christ The Savior Lutheran Church,0,5,5,0,1,1,12/31/2021
Centennial 02,Troop 0634-BT,B,"Friends of Scouting in Willow Creek, Inc",29,0,29,9,4,13,12/31/2021
Centennial 02,Troop 0641-BT,B,Smoky Hill Rotary,9,0,9,4,3,7,12/31/2021
Centennial 02,Troop 0707-BT,B,New Hope Community Church,19,0,19,4,3,7,12/31/2021
Centennial 02,Troop 0717-BT,B,Jon-Don,14,0,14,3,1,4,12/31/2021
Centennial 02,Troop 0770-BT,B,St Thomas More Center,26,0,26,7,0,7,12/31/2021
Centennial 02,Troop 0839-BT,B,All Saints Lutheran Church,10,0,10,13,5,18,12/31/2021
